iter	Passed	Remaining
0	174	174476
1	244	122006
2	285	95005
3	328	81872
4	365	72681
5	411	68141
6	458	65042
7	510	63363
8	547	60263
9	580	57450
10	606	54549
11	633	52163
12	661	50187
13	686	48342
14	721	47360
15	749	46108
16	778	44995
17	811	44266
18	847	43777
19	875	42883
20	904	42162
21	936	41648
22	969	41187
23	1003	40826
24	1036	40421
25	1071	40144
26	1103	39756
27	1137	39477
28	1176	39381
29	1219	39426
30	1255	39253
31	1292	39085
32	1323	38782
33	1359	38611
34	1386	38234
35	1416	37938
36	1453	37831
37	1485	37609
38	1520	37456
39	1559	37419
40	1592	37238
41	1623	37040
42	1651	36759
43	1682	36560
44	1713	36359
45	1742	36131
46	1769	35877
47	1798	35671
48	1823	35391
49	1854	35242
50	1887	35125
51	1919	34991
52	1948	34809
53	1982	34729
54	2025	34809
55	2058	34698
56	2088	34554
57	2122	34475
58	2153	34347
59	2185	34237
60	2210	34021
61	2238	33861
62	2271	33789
63	2302	33674
64	2329	33509
65	2359	33392
66	2386	33229
67	2414	33088
68	2447	33025
69	2480	32955
70	2504	32767
71	2534	32670
72	2569	32634
73	2610	32661
74	2640	32569
75	2669	32456
76	2699	32353
77	2733	32315
78	2765	32242
79	2797	32175
80	2827	32080
81	2856	31974
82	2884	31865
83	2917	31811
84	2953	31791
85	2990	31778
86	3023	31733
87	3052	31630
88	3098	31720
89	3132	31672
90	3166	31632
91	3195	31541
92	3227	31475
93	3261	31438
94	3294	31385
95	3321	31278
96	3356	31250
97	3388	31185
98	3418	31111
99	3451	31064
100	3483	31006
101	3520	30991
102	3549	30912
103	3583	30869
104	3613	30801
105	3645	30744
106	3674	30669
107	3715	30691
108	3750	30659
109	3780	30588
110	3811	30523
111	3840	30448
112	3900	30619
113	3935	30585
114	3961	30483
115	3988	30397
116	4013	30291
117	4040	30197
118	4068	30121
119	4095	30034
120	4122	29945
121	4143	29817
122	4175	29771
123	4209	29735
124	4238	29668
125	4269	29618
126	4301	29568
127	4334	29530
128	4370	29511
129	4396	29419
130	4435	29422
131	4462	29341
132	4506	29376
133	4537	29324
134	4568	29269
135	4595	29192
136	4623	29123
137	4654	29073
138	4686	29031
139	4719	28990
140	4752	28954
141	4789	28936
142	4818	28874
143	4845	28801
144	4873	28738
145	4907	28707
146	4939	28665
147	4975	28643
148	5006	28595
149	5038	28550
150	5072	28518
151	5100	28453
152	5126	28377
153	5157	28334
154	5184	28263
155	5215	28219
156	5239	28133
157	5271	28090
158	5304	28058
159	5344	28058
160	5375	28011
161	5407	27970
162	5450	27990
163	5484	27957
164	5522	27947
165	5555	27911
166	5587	27872
167	5618	27823
168	5642	27746
169	5669	27681
170	5697	27619
171	5725	27560
172	5752	27498
173	5785	27463
174	5817	27426
175	5847	27375
176	5881	27347
177	5914	27312
178	5941	27252
179	5973	27214
180	5999	27147
181	6025	27079
182	6057	27045
183	6086	26992
184	6116	26944
185	6152	26924
186	6193	26926
187	6225	26888
188	6259	26859
189	6288	26809
190	6333	26824
191	6364	26784
192	6393	26734
193	6421	26680
194	6455	26649
195	6485	26601
196	6513	26551
197	6543	26503
198	6569	26444
199	6604	26417
200	6639	26393
201	6663	26325
202	6694	26284
203	6729	26259
204	6756	26203
205	6782	26142
206	6810	26092
207	6840	26047
208	6869	25999
209	6897	25946
210	6928	25908
211	6957	25859
212	6984	25807
213	7016	25769
214	7047	25730
215	7076	25685
216	7104	25635
217	7132	25586
218	7169	25568
219	7203	25539
220	7231	25490
221	7270	25479
222	7309	25469
223	7338	25424
224	7370	25387
